[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001008s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001091s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000606s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000711s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000401s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000485s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008642s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008746s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000411s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000458s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000255s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000493s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001826s ]
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --START--
[ 2012-12-11T09:14:14+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000527s ]
