[ 2012-12-10T09:10:48+08:00 ] /nextUpFile/ | INFO: Run ShowPageTrace Behavior [ RunTime:0.000493s ]
[ 2012-12-10T09:10:48+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --END-- [ RunTime:0.000568s ]
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --START--
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run CheckRoute Behavior [ RunTime:0.015937s ]
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ route_check ] --END-- [ RunTime:0.016071s ]
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000645s ]
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000725s ]
[ 2012-12-10T09:10:49+08:00 ] /nextUpFile/index.php/Index/uploadify | NOTIC: [8] Undefined property: UploadFile::$zipImags UploadFile.class.php 第 172 行.
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000630s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000739s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.000412s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.000495s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.008638s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008746s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.000441s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.000470s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000274s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.000519s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001929s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.000496s ]
[ 2012-12-10T09:11:27+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.000573s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000612s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000714s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.000409s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.000489s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.008746s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.008845s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.000401s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.000445s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000262s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Run ShowRuntime Behavior [ RunTime:0.000504s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --END-- [ RunTime:0.001830s ]
[ 2012-12-10T09:11:28+08:00 ] /nextUpFile/ | INFO: Tag[ view_end ] --START--
