[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --START--
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run ReadHtmlCache Behavior [ RunTime:0.009581s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ app_begin ] --END-- [ RunTime:0.009699s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --START--
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run LocationTemplate Behavior [ RunTime:0.002428s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_template ] --END-- [ RunTime:0.002525s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --START--
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run ParseTemplate Behavior [ RunTime:0.064351s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_parse ] --END-- [ RunTime:0.064457s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --START--
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run ContentReplace Behavior [ RunTime:0.011091s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run TokenBuild Behavior [ RunTime:0.013068s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001548s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run ShowRuntime Behavior [ RunTime:0.001627s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_filter ] --END-- [ RunTime:0.027602s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --START--
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Run ShowPageTrace Behavior [ RunTime:0.001582s ]
[ 2012-12-18T09:51:52+08:00 ] /nextUpFile/index.php | INFO: Tag[ view_end ] --END-- [ RunTime:0.001664s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --START--
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000628s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000747s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --START--
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Run LocationTemplate Behavior [ RunTime:0.002241s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ view_template ] --END-- [ RunTime:0.002339s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --START--
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Run ParseTemplate Behavior [ RunTime:0.013493s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ view_parse ] --END-- [ RunTime:0.013604s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Tag[ view_filter ] --START--
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Run ContentReplace Behavior [ RunTime:0.001354s ]
[ 2012-12-18T09:51:53+08:00 ] /nextUpFile/ | INFO: Run TokenBuild Behavior [ RunTime:0.001409s ]
